-320.0000	1.0000	0.0000
-270.0000	0.9916	0.0059
-220.0000	0.9802	0.0039
-170.0000	0.9643	0.0070
-120.0000	0.9253	0.0046
-70.0000	0.8906	0.0050
-20.0000	0.8667	0.0042
30.0000	0.8522	0.0101
80.0000	0.8403	0.0043
130.0000	0.8317	0.0118
180.0000	0.8204	0.0221
200.0000	0.8094	0.0222
220.0000	0.7990	0.0225
260.0000	0.7770	0.0267
280.0000	0.7552	0.0202
300.0000	0.7081	0.0191
320.0000	0.6250	0.0143
340.0000	0.5046	0.0068
360.0000	0.3565	0.0021
380.0000	0.2216	0.0061
430.0000	0.0555	0.0027
480.0000	0.0169	0.0030
530.0000	0.0071	0.0079
580.0000	0.0039	0.0068
630.0000	0.0064	0.0033
680.0000	0.0000	0.0000
655.0000	0.0004	0.0017
605.0000	0.0085	0.0039
555.0000	0.0031	0.0018
505.0000	0.0021	0.0014
455.0000	0.0175	0.0011
405.0000	0.1175	0.0026
355.0000	0.4363	0.0024
330.0000	0.6129	0.0059
310.0000	0.7111	0.0078
290.0000	0.7811	0.0071
270.0000	0.8167	0.0069
250.0000	0.8307	0.0057
230.0000	0.8495	0.0124
205.0000	0.8554	0.0129
155.0000	0.8605	0.0170
105.0000	0.8565	0.0220
55.0000	0.8667	0.0128
5.0000	0.8746	0.0138
-45.0000	0.8832	0.0138
-95.0000	0.9204	0.0223
-145.0000	0.9619	0.0189
-195.0000	0.9856	0.0131
-245.0000	0.9961	0.0041
-295.0000	1.0046	0.0046
-320.0000	1.0000	0.0000
