-320.0000	1.0000	0.00001
-270.0000	0.9788	0.0148
-220.0000	0.9755	0.0014
-170.0000	0.9402	0.0071
-120.0000	0.9154	0.0151
-70.0000	0.9055	0.0101
-20.0000	0.8909	0.0172
30.0000	0.8781	0.0126
80.0000	0.8799	0.0037
130.0000	0.8692	0.0205
180.0000	0.8649	0.0090
200.0000	0.8619	0.0090
220.0000	0.8504	0.0110
260.0000	0.8351	0.0036
280.0000	0.8182	0.0071
300.0000	0.7971	0.0020
320.0000	0.7432	0.0052
340.0000	0.6436	0.0052
360.0000	0.5137	0.0079
380.0000	0.3494	0.0076
430.0000	0.0847	0.0079
480.0000	0.0142	0.0150
530.0000	0.0047	0.0035
580.0000	0.0069	0.0074
630.0000	0.0099	0.0190
680.0000	0.0000	0.00001
655.0000	0.0047	0.0233
605.0000	-0.0075	0.0018
555.0000	-0.0049	0.0178
505.0000	-0.0166	0.0177
455.0000	0.0232	0.0132
405.0000	0.2009	0.0153
355.0000	0.5744	0.0128
330.0000	0.7445	0.0065
310.0000	0.8149	0.0094
290.0000	0.8549	0.0150
270.0000	0.8681	0.0293
250.0000	0.8926	0.0165
230.0000	0.8819	0.0217
205.0000	0.8711	0.0377
155.0000	0.8763	0.0195
105.0000	0.8758	0.0232
55.0000	0.8772	0.0362
5.0000	0.8945	0.0401
-45.0000	0.8947	0.0354
-95.0000	0.9190	0.0218
-145.0000	0.9526	0.0038
-195.0000	0.9717	0.0051
-245.0000	0.9916	0.0074
-295.0000	1.0000	0.0148
-320.0000	1.0000	0.00001
