-320.0000	1.0000	0.00001
-270.0000	0.9927	0.0099
-220.0000	0.9603	0.0231
-170.0000	0.9116	0.0128
-120.0000	0.8226	0.0229
-70.0000	0.7455	0.0078
-20.0000	0.7030	0.0066
30.0000	0.6738	0.0094
80.0000	0.6297	0.0270
130.0000	0.5839	0.0287
180.0000	0.5307	0.0516
200.0000	0.4921	0.0590
220.0000	0.4725	0.0689
260.0000	0.4437	0.0678
280.0000	0.4199	0.0648
300.0000	0.3929	0.0540
320.0000	0.3544	0.0244
340.0000	0.3009	0.0075
360.0000	0.2243	0.0329
380.0000	0.1492	0.0412
430.0000	0.0331	0.0197
480.0000	0.0159	0.0115
530.0000	0.0106	0.0046
580.0000	-0.0032	0.0027
630.0000	-0.0111	0.0091
680.0000	0.0000	0.00001
655.0000	-0.0040	0.0025
605.0000	-0.0099	0.0045
555.0000	-0.0018	0.0067
505.0000	-0.0141	0.0039
455.0000	0.0050	0.0061
405.0000	0.0714	0.0146
355.0000	0.2646	0.0007
330.0000	0.3786	0.0391
310.0000	0.4237	0.0707
290.0000	0.4573	0.0748
270.0000	0.4787	0.0916
250.0000	0.4983	0.0838
230.0000	0.5053	0.0806
205.0000	0.5262	0.0648
155.0000	0.5557	0.0745
105.0000	0.5878	0.0789
55.0000	0.6011	0.0617
5.0000	0.6199	0.0423
-45.0000	0.6790	0.0321
-95.0000	0.7674	0.0351
-145.0000	0.8656	0.0494
-195.0000	0.9362	0.0434
-245.0000	0.9881	0.0320
-295.0000	0.9928	0.0188
-320.0000	1.0000	0.00001
